,GNN,Neural Network,Linear Regression,Rolling Mean
Voltage Magnitude,0.09297407,0.49449977,0.15800777,0.20471378
Voltage Angle,0.1321157,0.5186185,0.11306358,0.2582747
Active Power,0.123086266,0.7302531,0.14822263,0.23549719
Reactive Power,0.12639372,0.7565898,0.16682477,0.24253826
