,GNN,Neural Network,Linear Regression,Rolling Mean
Voltage Magnitude,0.15667842,0.80204076,0.20957893,0.23269665
Voltage Angle,0.171435,0.75500745,0.14245656,0.2716491
Active Power,0.12915944,0.58411837,0.117985815,0.15684631
Reactive Power,0.1459959,0.5705978,0.14609666,0.16308153
