,GNN,Neural Network,Linear Regression,Rolling Mean
Voltage Magnitude,0.1567 ± 0.0930,0.8020 ± 0.4945,0.2096 ± 0.1580,0.2327 ± 0.2047
Voltage Angle,0.1714 ± 0.1321,0.7550 ± 0.5186,0.1425 ± 0.1131,0.2716 ± 0.2583
Active Power,0.1292 ± 0.1231,0.5841 ± 0.7303,0.1180 ± 0.1482,0.1568 ± 0.2355
Reactive Power,0.1460 ± 0.1264,0.5706 ± 0.7566,0.1461 ± 0.1668,0.1631 ± 0.2425
